# expected_volume_mL=112.37,sensor_cal_factor=0.00052587,source_duration_s=25.00
time_s,mass_g,filt_mass_g,filt_inflow_g_s,kz_flow_g_s,cum_volume_g,cum_volume_mL,zone,is_roi
19.162791967391968,73.788307971,75.44852178074156,6.5416783525434825,5.224078752316594,78.41801951925478,78.55942648693126,voiding,1
19.199355840682983,73.74991946099999,75.60579932938228,6.467109055982319,5.197751832777729,78.42729458784392,78.56871828074927,voiding,1
19.200798988342285,76.439744511,75.76204043671824,6.386833545586412,5.171380209620043,78.66081692899166,78.80266172008783,voiding,1
19.23760485649109,78.260832321,75.9184569342048,6.302574578337448,5.144968664690691,78.89545324932102,79.03772114738632,voiding,1
19.275092840194702,75.972771951,76.07590535399191,6.2153736892693265,5.118522257720324,79.12817291528562,79.27086046412104,voiding,1
19.31280779838562,73.657366341,76.23479954039007,6.125600668254043,5.0920462261012505,79.14112210020082,79.2838329996001,voiding,1
19.314937829971313,75.201846531,76.39507927721951,6.03307810643746,5.065545879935655,79.35169308414716,79.49478369479779,voiding,1
19.350119829177856,78.43331768099999,76.55625168470785,5.937303832925192,5.039026496881284,79.57007994287186,79.71356435871755,voiding,1
19.387212991714478,79.279442511,76.71750877596635,5.837742768134891,5.012493221188064,79.57772914443457,79.72122735367118,voiding,1
19.388535022735596,76.16786972099999,76.877880400156,5.734151446946313,4.985950971034248,79.78572088554058,79.92959415501961,voiding,1
19.42514991760254,74.79692663099999,77.03636500757163,5.626893934276119,4.95940435783948,79.99645507539424,80.140708350425,voiding,1
19.46296977996826,76.525461321,77.1920198480782,5.517207427904156,4.932858196073757,80.20001950287684,80.34463985461515,voiding,1
19.500236988067627,77.73969515099999,77.34404088972221,5.407379514044581,4.9063168815550044,80.20746669280787,80.35210047366046,voiding,1
19.501627922058105,79.680681321,77.49186095596957,5.300806470347003,4.879784361285907,80.39765504541664,80.54263178262536,voiding,1
19.53784489631653,78.689416371,77.6352475948523,5.201912572480873,4.853264122930349,80.5924202149469,80.73774816163785,voiding,1
19.575598001480103,75.66724148099999,77.77435058994577,5.1159232021601415,4.826759203709446,80.61394716183166,80.75931392690008,voiding,1
19.57983374595642,76.624850751,77.90967218740786,5.048498662813027,4.800272217582242,80.7800652848619,80.92573160174504,voiding,1
19.612879753112793,79.384090641,78.04198427029587,5.005249872928932,4.773805398706538,80.96864287911853,81.11464924776452,voiding,1
19.650608777999878,78.872419131,78.1722394167255,4.991170380231613,4.747360658402326,81.16723721101786,81.31360169406719,voiding,1
19.690322875976562,77.909551161,78.3015014575248,5.010030302504109,4.720939652214267,81.16795774649576,81.31432352884768,voiding,1
19.690465927124023,77.41891445099999,78.43089346940644,5.063785821143277,4.694543853235375,81.34533015031295,81.49201577871463,voiding,1
